Rank,Reg.No,GPA,Prov Field,Pref
1,E/23/085,4,Elect,1
1,E/23/024,4,Elect,1
3,E/23/336,4,Comp,1
4,E/23/178,3.95,Comp,1
4,E/23/151,3.916666667,Elect,1
6,E/23/172,3.9,Elect,1
6,E/23/027,3.916666667,Elect,1
8,E/23/118,3.9,Comp,1
8,E/23/202,3.916666667,Comp,1
8,E/23/076,3.833333333,Comp,1
11,E/23/013,3.833333333,Elect,1
12,E/23/399,3.833333333,Elect,1
13,E/23/388,3.833333333,Elect,1
13,E/23/087,3.816666667,Elect,1
13,E/23/386,3.811111111,Elect,1
13,E/23/389,3.833333333,Elect,1
17,E/23/113,3.8,Elect,1
18,E/23/287,3.766666667,Elect,1
18,E/23/182,3.783333333,Comp,1
20,E/23/069,3.783333333,Elect,1
21,E/23/145,3.822222222,Elect,1
21,E/23/231,3.8,Comp,1
23,E/23/251,3.805555556,Elect,1
24,E/23/384,3.8,Comp,1
24,E/23/065,3.8,Elect,1
26,E/23/018,3.822222222,Elect,1
26,E/23/053,3.761111111,Elect,1
28,E/23/183,3.783333333,Elect,1
29,E/23/158,3.677777778,Elect,1
29,E/23/368,3.75,Elect,1
31,E/23/449,3.716666667,Elect,1
32,E/23/135,3.733333333,Elect,1
33,E/23/219,3.772222222,Elect,1
34,E/23/352,3.755555556,Comp,1
35,E/23/010,3.716666667,Elect,1
36,E/23/138,3.694444444,Elect,1
37,E/23/448,3.677777778,Manufac,1
38,E/23/401,3.755555556,Elect,1
39,E/23/452,3.683333333,Elect,1
39,E/23/192,3.683333333,Elect,1
41,E/23/347,3.683333333,Comp,1
41,E/23/009,3.7,Comp,1
44,E/23/119,3.683333333,Elect,1
45,E/23/171,3.627777778,Elect,1
45,E/23/282,3.705555556,Comp,1
45,E/23/043,3.65,Comp,1
48,E/23/082,3.627777778,Comp,1
48,E/23/166,3.705555556,Elect,1
48,E/23/190,3.644444444,Elect,1
50,E/23/262,3.688888889,Elect,1
50,E/23/248,3.65,Elect,1
50,E/23/056,3.688888889,Elect,1
53,E/23/217,3.666666667,Elect,1
54,E/23/364,3.705555556,Elect,1
55,E/23/235,3.705555556,Elect,1
55,E/23/011,3.666666667,Comp,1
55,E/23/348,3.705555556,Chem,1
58,E/23/071,3.633333333,Elect,1
59,E/23/100,3.633333333,Comp,1
60,E/23/440,3.577777778,Chem,1
61,E/23/007,3.655555556,Elect,1
61,E/23/062,3.616666667,Elect,1
63,E/23/098,3.616666667,Comp,1
64,E/23/317,3.633333333,Comp,1
64,E/23/052,3.672222222,Elect,1
66,E/23/116,3.594444444,Comp,1
66,E/23/343,3.655555556,Comp,1
68,E/23/400,3.633333333,Elect,1
69,E/23/162,3.6,Comp,1
70,E/23/128,3.6,Elect,1
71,E/23/028,3.638888889,Elect,1
72,E/23/453,3.594444444,Elect,1
72,E/23/108,3.616666667,Comp,1
74,E/23/269,3.561111111,Elect,1
75,E/23/035,3.633333333,Comp,1
75,E/23/377,3.638888889,Civil,1
77,E/23/266,3.638888889,Comp,1
78,E/23/378,3.655555556,Mech,1
79,E/23/246,3.561111111,Elect,1
80,E/23/397,3.638888889,Elect,1
81,E/23/048,3.577777778,Elect,1
82,E/23/187,3.6,Comp,1
83,E/23/279,3.622222222,Elect,1
84,E/23/315,3.638888889,Elect,1
84,E/23/339,3.622222222,Elect,1
84,E/23/012,3.566666667,Comp,1
84,E/23/274,3.527777778,Comp,1
88,E/23/430,3.527777778,Comp,1
88,E/23/051,3.511111111,Comp,1
90,E/23/104,3.511111111,Comp,1
90,E/23/114,3.511111111,Elect,1
90,E/23/329,3.544444444,Elect,1
90,E/23/375,3.605555556,Civil,1
94,E/23/181,3.605555556,Elect,1
95,E/23/075,3.511111111,Comp,1
96,E/23/189,3.527777778,Mech,1
96,E/23/422,3.511111111,Elect,1
98,E/23/226,3.516666667,Comp,1
99,E/23/295,3.511111111,Chem,1
99,E/23/382,3.511111111,Comp,1
101,E/23/038,3.588888889,Elect,1
102,E/23/380,3.588888889,Elect,1
102,E/23/323,3.588888889,Mech,1
104,E/23/406,3.605555556,Elect,1
105,E/23/435,3.444444444,Comp,1
106,E/23/233,3.516666667,Elect,1
107,E/23/273,3.516666667,Comp,1
108,E/23/405,3.477777778,Elect,1
108,E/23/040,3.533333333,Comp,1
110,E/23/365,3.516666667,Elect,1
111,E/23/454,3.516666667,Comp,1
111,E/23/131,3.516666667,Civil,1
111,E/23/278,3.516666667,Elect,1
111,E/23/331,3.555555556,Elect,1
111,E/23/244,3.477777778,Comp,1
111,E/23/357,3.461111111,Chem,1
117,E/23/061,3.444444444,Chem,1
118,E/23/149,3.461111111,Comp,1
119,E/23/037,3.5,Elect,1
120,E/23/241,3.538888889,Elect,1
120,E/23/396,3.522222222,Comp,1
122,E/23/134,3.516666667,Chem,1
122,E/23/446,3.444444444,Elect,1
122,E/23/200,3.477777778,Elect,1
125,E/23/020,3.477777778,Elect,1
125,E/23/258,3.427777778,Mech,1
127,E/23/433,3.5,Elect,1
128,E/23/213,3.516666667,Elect,1
128,E/23/259,3.483333333,Elect,1
130,E/23/334,3.477777778,Mech,1
131,E/23/023,3.522222222,Comp,1
132,E/23/387,3.505555556,Comp,1
132,E/23/080,3.466666667,Elect,1
132,E/23/413,3.394444444,Elect,1
135,E/23/340,3.394444444,Comp,1
135,E/23/041,3.472222222,Comp,1
137,E/23/353,3.472222222,Mech,1
138,E/23/068,3.411111111,Elect,1
139,E/23/314,3.411111111,Elect,1
140,E/23/351,3.483333333,Comp,1
140,E/23/337,3.411111111,Elect,1
142,E/23/021,3.466666667,Comp,1
143,E/23/039,3.411111111,Elect,1
